Ep,Reflect,Generation,cycles
0.293,7.724,985.6541435902989,42
0.183,4.217,985.9091120710394,228
0.343,7.026,985.9708872758562,135
0.1,2.191,986.0084927164402,791
0.154,3.343,985.9750129309633,769
0.346,7.176,985.9397185624913,108
0.268,4.947,985.8450750767847,130
0.138,1.74,983.983394920812,43
0.213,4.588,985.995049916109,61
0.11,2.376,986.0158317015758,134
